,RunId,iteration,Step,schedule_type,Cooperating_Agents
0,5,1,0,Simultaneous,1241
1,5,1,1,Simultaneous,1246
2,5,1,2,Simultaneous,74
3,5,1,3,Simultaneous,75
4,5,1,4,Simultaneous,92
5,5,1,5,Simultaneous,152
6,5,1,6,Simultaneous,224
7,5,1,7,Simultaneous,318
8,5,1,8,Simultaneous,421
9,5,1,9,Simultaneous,516
10,5,1,10,Simultaneous,631
11,5,1,11,Simultaneous,739
12,5,1,12,Simultaneous,859
13,5,1,13,Simultaneous,1000
14,5,1,14,Simultaneous,1149
15,5,1,15,Simultaneous,1277
16,5,1,16,Simultaneous,1408
17,5,1,17,Simultaneous,1514
18,5,1,18,Simultaneous,1661
19,5,1,19,Simultaneous,1741
20,5,1,20,Simultaneous,1804
21,5,1,21,Simultaneous,1886
22,5,1,22,Simultaneous,1941
23,5,1,23,Simultaneous,2011
24,5,1,24,Simultaneous,2058
25,5,1,25,Simultaneous,2128
26,5,1,26,Simultaneous,2182
27,5,1,27,Simultaneous,2215
28,5,1,28,Simultaneous,2237
29,5,1,29,Simultaneous,2261
30,5,1,30,Simultaneous,2251
31,5,1,31,Simultaneous,2257
32,5,1,32,Simultaneous,2248
33,5,1,33,Simultaneous,2247
34,5,1,34,Simultaneous,2239
35,5,1,35,Simultaneous,2231
36,5,1,36,Simultaneous,2224
37,5,1,37,Simultaneous,2218
38,5,1,38,Simultaneous,2213
39,5,1,39,Simultaneous,2223
40,5,1,40,Simultaneous,2219
41,5,1,41,Simultaneous,2209
42,5,1,42,Simultaneous,2207
43,5,1,43,Simultaneous,2205
44,5,1,44,Simultaneous,2211
45,5,1,45,Simultaneous,2205
46,5,1,46,Simultaneous,2206
47,5,1,47,Simultaneous,2204
48,5,1,48,Simultaneous,2204
49,5,1,49,Simultaneous,2208
50,5,1,50,Simultaneous,2204
51,5,1,51,Simultaneous,2202
52,5,1,52,Simultaneous,2194
53,5,1,53,Simultaneous,2194
54,5,1,54,Simultaneous,2192
55,5,1,55,Simultaneous,2186
56,5,1,56,Simultaneous,2187
57,5,1,57,Simultaneous,2189
58,5,1,58,Simultaneous,2191
59,5,1,59,Simultaneous,2185
60,5,1,60,Simultaneous,2189
61,5,1,61,Simultaneous,2189
62,5,1,62,Simultaneous,2198
63,5,1,63,Simultaneous,2197
64,5,1,64,Simultaneous,2196
65,5,1,65,Simultaneous,2195
66,5,1,66,Simultaneous,2195
67,5,1,67,Simultaneous,2196
68,5,1,68,Simultaneous,2193
